# Per-lint clippy/rustc warning counts. Generated by:
#     python scripts/clippy_gate.py --update
#
# A ceiling, not a census: counts may only go down. See the module
# docstring in clippy_gate.py for what this gate does and does not catch.
#
# count	lint
137	clippy::collapsible_if
72	unused_variables
39	dead_code
37	unused_imports
32	clippy::manual_div_ceil
28	clippy::needless_range_loop
28	clippy::useless_vec
20	clippy::too_many_arguments
19	clippy::manual_is_multiple_of
15	clippy::type_complexity
12	clippy::get_first
11	clippy::needless_borrow
10	clippy::doc_overindented_list_items
10	clippy::manual_range_contains
10	clippy::unwrap_or_default
9	deprecated
8	clippy::chunks_exact_to_as_chunks
8	clippy::field_reassign_with_default
8	clippy::redundant_closure
8	clippy::unnecessary_map_or
7	unused_mut
6	clippy::assertions_on_constants
6	clippy::derivable_impls
6	clippy::needless_return
6	clippy::unnecessary_sort_by
6	clippy::useless_conversion
4	clippy::manual_checked_ops
4	clippy::manual_strip
4	clippy::single_range_in_vec_init
4	clippy::unnecessary_cast
4	clippy::unnecessary_unwrap
4	clippy::unused_enumerate_index
3	clippy::explicit_counter_loop
3	clippy::len_zero
2	clippy::bind_instead_of_map
2	clippy::bool_assert_comparison
2	clippy::doc_lazy_continuation
2	clippy::io_other_error
2	clippy::let_and_return
2	clippy::manual_inspect
2	clippy::manual_map
2	clippy::manual_pattern_char_comparison
2	clippy::needless_borrows_for_generic_args
2	clippy::needless_question_mark
2	clippy::new_without_default
2	clippy::println_empty_string
2	clippy::redundant_field_names
2	clippy::useless_asref
1	clippy::collapsible_match
1	clippy::manual_contains
1	clippy::manual_repeat_n
1	clippy::needless_update
